relative_path,filename,extension,prefix,parse_status,has_up,has_down,operation_tags,table_reference_sample,file_sha256,size_bytes,order_index,classification
backend/migrations/backup/20250706073412-create-tujuan.js,20250706073412-create-tujuan.js,.js,20250706073412,prefix_ok,True,True,add_constraint|create_table|drop_table|raw_sql,misi_id|no_tujuan|periode_id|periode_rpjmds|unique_no_tujuan_per_misi_periode,824a1ed8adbb5ebc065efbd90860b424c83197f7a4a4d590199c48fd110c3ce7,1995,,backup-or-nonactive-copy
backend/migrations/backup/20250706073428-create-indikator-tujuan.js,20250706073428-create-indikator-tujuan.js,.js,20250706073428,prefix_ok,True,True,create_table|drop_table,CURRENT_TIMESTAMP,8c215d2325e0b6e55db9bcbbd2b8bb26ea0826455ae80976f50aeca7fbec58f0,3373,,backup-or-nonactive-copy
backend/migrations/backup/20250706083916-rename-jenisDokumen-to-jenis_dokumen.js,20250706083916-rename-jenisDokumen-to-jenis_dokumen.js,.js,20250706083916,prefix_ok,True,True,,jenis_dokumen,c42fbb8d4b4f7042aa0680bc971f01c2459ceef1bc1adaf208b9ec73cd5c9428,344,,backup-or-nonactive-copy
backend/migrations/backup/20250706131622-add-timestamps-to-indikatortujuans.js,20250706131622-add-timestamps-to-indikatortujuans.js,.js,20250706131622,prefix_ok,True,True,add_column|remove_column,CURRENT_TIMESTAMP|created_at|updated_at,b1bf8255bbe7c4774bf88ce5afe650b2568c7aabdc6793d8b6bd0596cfe01774,739,,backup-or-nonactive-copy
backend/migrations/backup/20250706132426-remove-camelcase-timestamps.js,20250706132426-remove-camelcase-timestamps.js,.js,20250706132426,prefix_ok,True,True,add_column|remove_column,CURRENT_TIMESTAMP,2fbfdedd16553e234cf6eafbeb8d2f9d87ef58638616c2d9f5070bef42ea3c4f,639,,backup-or-nonactive-copy
backend/migrations/backup/20250709131126-add-rekomendasi-ai-to-all-indikator-tables.js,20250709131126-add-rekomendasi-ai-to-all-indikator-tables.js,.js,20250709131126,prefix_ok,True,True,add_column|remove_column,rekomendasi_ai,a5f8ab59cc7c18f9b25dfef1327fb59123d4d6bedc5cda94b653a518ab7cb2f9,765,,backup-or-nonactive-copy
backend/migrations/backup/20250710020953-add-indikator-program-id-to-indikatorkegiatans.js,20250710020953-add-indikator-program-id-to-indikatorkegiatans.js,.js,20250710020953,prefix_ok,True,True,add_column|remove_column,indikator_program_id,6e3012badbd2eb9eeb4c09cb2a93a1f65d6650c4cdd9a15b85ba0bf72bfbfe9a,512,,backup-or-nonactive-copy
backend/migrations/backup/20250711135745-add-capaian-tahun-to-indikator-tujuan.js,20250711135745-add-capaian-tahun-to-indikator-tujuan.js,.js,20250711135745,prefix_ok,True,True,add_column|remove_column,capaian_tahun_1|capaian_tahun_2|capaian_tahun_3|capaian_tahun_4|capaian_tahun_5,09884d5d676147aa0fbe616f9eb034308a8428fec915c94e1f2abdf655449cc5,1230,,backup-or-nonactive-copy
backend/migrations/backup/20250711135811-add-capaian-tahun-to-indikator-sasaran.js,20250711135811-add-capaian-tahun-to-indikator-sasaran.js,.js,20250711135811,prefix_ok,True,True,add_column|remove_column,capaian_tahun_1|capaian_tahun_2|capaian_tahun_3|capaian_tahun_4|capaian_tahun_5,46b1612f8cb0e7a19c556d4168f43488e57f2e9bcb61870d859e0e1ba1cacaa5,1240,,backup-or-nonactive-copy
backend/migrations/backup/20250711135823-add-capaian-tahun-to-indikator-program.js,20250711135823-add-capaian-tahun-to-indikator-program.js,.js,20250711135823,prefix_ok,True,True,add_column|remove_column,capaian_tahun_1|capaian_tahun_2|capaian_tahun_3|capaian_tahun_4|capaian_tahun_5,6db24a5201799da05145bd0d23ee04be6b305e40bd447c86dfb3ac22c14baa94,1240,,backup-or-nonactive-copy
backend/migrations/backup/20250711135838-add-capaian-tahun-to-indikator-kegiatan.js,20250711135838-add-capaian-tahun-to-indikator-kegiatan.js,.js,20250711135838,prefix_ok,True,True,add_column|remove_column,capaian_tahun_1|capaian_tahun_2|capaian_tahun_3|capaian_tahun_4|capaian_tahun_5,c44d830d1dd0147fe5bc6f70d6f50dae945d7df61772099af40f612334d537a1,1250,,backup-or-nonactive-copy
backend/migrations/backup/20250711140513-add-capaian-tahun-to-indikator.js,20250711140513-add-capaian-tahun-to-indikator.js,.js,20250711140513,prefix_ok,True,True,add_column|remove_column,capaian_tahun_1|capaian_tahun_2|capaian_tahun_3|capaian_tahun_4|capaian_tahun_5,5d5cf66d886be0f3395cbf05446012ba4a5f852a95cd7f7510d3c59d4c4df70b,1160,,backup-or-nonactive-copy
backend/migrations/backup/20250711140514-fix-program-id-fk.js,20250711140514-fix-program-id-fk.js,.js,20250711140514,prefix_ok,True,True,add_constraint|remove_constraint,fk_indikatorkegiatans_program_id_to_program|indikatorkegiatans_program_id_foreign_idx|program_id,c664657472503d75c6db0b86d8099342435fe6f56b60298c909365e137735b95,1353,,backup-or-nonactive-copy
backend/migrations/backup/20250714114623-remove-prioritas-from-indikatorkegiatans.js,20250714114623-remove-prioritas-from-indikatorkegiatans.js,.js,20250714114623,prefix_ok,True,True,add_column|remove_column,prioritas_daerah|prioritas_daerah_id|prioritas_gubernur_id|prioritas_kepala_daerah|prioritas_nasional|prioritas_nasional_id,bc04b436f9cd8443eba5de1966132599c5b39f757aa318dfb5f5314554dfa5e4,1595,,backup-or-nonactive-copy
backend/migrations/backup/20250715015855-add-misi-id-to-indikatorkegiatan.js,20250715015855-add-misi-id-to-indikatorkegiatan.js,.js,20250715015855,prefix_ok,True,True,add_column|remove_column,misi_id,c42866304bbaf45228142e287be5569c3595c46f1cc583b6cd026b5c32901e96,337,,backup-or-nonactive-copy
backend/migrations/backup/20250715020440-add-hirarki-to-indikatorkegiatans.js,20250715020440-add-hirarki-to-indikatorkegiatans.js,.js,20250715020440,prefix_ok,True,True,add_column|remove_column,program_id|sasaran_id|tujuan_id,e44fe624716c574dd0f22262238664b01edb01523b873c3671f593f4ebdfc7a2,987,,backup-or-nonactive-copy
backend/migrations/backup/20250715082000-add-sasaran-id-to-prioritas-kepala-daerah.js,20250715082000-add-sasaran-id-to-prioritas-kepala-daerah.js,.js,20250715082000,prefix_ok,True,True,add_column|remove_column,prioritas_kepala_daerah|sasaran_id,ab2e69b2b961416dede195760ad413603f0c67e88b87910cb35d1b0fb1248aa6,517,,backup-or-nonactive-copy
backend/migrations/backup/20250715082001-create-program_strategi.js,20250715082001-create-program_strategi.js,.js,20250715082001,prefix_ok,True,True,create_table|drop_table,program_strategi,e57aa4a6059f57a6e1a5498fabe1d88ed2e487c9fa8486fb78de38d3c99781e5,948,,backup-or-nonactive-copy
backend/migrations/backup/20250715082002-create-program_arah_kebijakan.js,20250715082002-create-program_arah_kebijakan.js,.js,20250715082002,prefix_ok,True,True,create_table|drop_table,arah_kebijakan|program_arah_kebijakan,40421f19a0bb31804ffce4f698e28891082055e7bb7fe7025839793a3c87f55a,972,,backup-or-nonactive-copy
backend/migrations/backup/20250723010159-modify-opd-penanggung-jawab-type.js,20250723010159-modify-opd-penanggung-jawab-type.js,.js,20250723010159,prefix_ok,True,True,add_constraint|change_column|remove_constraint,fk_opd_penanggung_jawab|opd_penanggung_jawab,b5764d53c5f40b92e4c6688b606341ec117edce7b483716c235a25433a0155a6,1015,,backup-or-nonactive-copy
backend/migrations/backup/20250723143528-add-pagu-anggaran-to-program-kegiatan-subkegiatan.js,20250723143528-add-pagu-anggaran-to-program-kegiatan-subkegiatan.js,.js,20250723143528,prefix_ok,True,True,add_column|remove_column,pagu_anggaran|sub_kegiatan,b0861336edae64cc17b06e440f57d72950e264ef4a140570b75cd7b94adcdd4f,819,,backup-or-nonactive-copy
backend/migrations/backup/20250723172435-add-total-pagu-anggaran-to-program.js,20250723172435-add-total-pagu-anggaran-to-program.js,.js,20250723172435,prefix_ok,True,True,add_column|remove_column,total_pagu_anggaran,954bdacf0c59ff97485535983d66785b1969585be2f3d6508833b0f8755fbc79,358,,backup-or-nonactive-copy
backend/migrations/backup/20250723172445-add-total-pagu-anggaran-to-kegiatan.js,20250723172445-add-total-pagu-anggaran-to-kegiatan.js,.js,20250723172445,prefix_ok,True,True,add_column|remove_column,total_pagu_anggaran,016d3b4f2cfbed7dcdfed0762b523e6bf2c9098474f2d1aa88ea45f25529c235,360,,backup-or-nonactive-copy
backend/migrations/backup/20250723172453-add-total-pagu-anggaran-to-sub-kegiatan.js,20250723172453-add-total-pagu-anggaran-to-sub-kegiatan.js,.js,20250723172453,prefix_ok,True,True,add_column|remove_column,sub_kegiatan|total_pagu_anggaran,9317b1c4c7740e43800c4645d443d0291085ffc6c5bcf5f1bf3b5649116340f6,368,,backup-or-nonactive-copy
backend/migrations/backup/20250724045857-add-locked-pagu-to-program.js,20250724045857-add-locked-pagu-to-program.js,.js,20250724045857,prefix_ok,True,True,add_column|remove_column,locked_pagu,66ca8597c7c973f537392f2d7dea2f496a404571539146dfb2007855bc1529ce,321,,backup-or-nonactive-copy
backend/migrations/backup/20250726124621-add-program-id-to-indikator-program.js,20250726124621-add-program-id-to-indikator-program.js,.js,20250726124621,prefix_ok,True,True,add_column|remove_column,program_id,853db8922f70b3587dc6b89a7d1614859804707ca9a8d473625ee712f0f8e6d4,460,,backup-or-nonactive-copy
backend/migrations/backup/20250726124622-cascading_strategi.js,20250726124622-cascading_strategi.js,.js,20250726124622,prefix_ok,True,True,create_table|drop_table,cascading_strategi,c679cb69e24216fb33d7465bb19f6e69b6a8588c11af0adffd8edc7067bee560,574,,backup-or-nonactive-copy
backend/migrations/backup/20250726124623-cascading_arah_kebijakan.js,20250726124623-cascading_arah_kebijakan.js,.js,20250726124623,prefix_ok,True,True,create_table|drop_table,arah_kebijakan|cascading_arah_kebijakan,8f23418f34a0754ebff82c4c28100a06679e0ec166d66a01d4f0056af7e7e08c,597,,backup-or-nonactive-copy
backend/migrations/backup/20250728011839-add-indikator-tujuan-to-rkpd.js,20250728011839-add-indikator-tujuan-to-rkpd.js,.js,20250728011839,prefix_ok,True,True,add_column|remove_column,indikator_tujuan_id,c173e940e284a66a864a8afb808fe186ebec1221eaf3a9b3f6d066ed98c68226,488,,backup-or-nonactive-copy
backend/migrations/backup/20250728045658-add-relational-fields-to-rkpd.js,20250728045658-add-relational-fields-to-rkpd.js,.js,20250728045658,prefix_ok,True,True,add_column|remove_column,kegiatan_id|opd_penanggung_jawab|opd_penanggung_jawab_id|prioritas_daerah|prioritas_daerah_id|prioritas_kepala_daerah|prioritas_kepala_daerah_id|prioritas_nasional|prioritas_nasional_id|program_id|sub_kegiatan|sub_kegiatan_id,cdbd7c951df75dd91a1428bfb15493cbaf784fcad11e8185b609329290e58a48,2521,,backup-or-nonactive-copy
backend/migrations/backup/20250728094137-remove-program-kegiatan-fields-from-rkpd.js,20250728094137-remove-program-kegiatan-fields-from-rkpd.js,.js,20250728094137,prefix_ok,True,True,add_column|remove_column,sub_kegiatan,bd6c2f635964ed851d54320c9d1640f5a4cbe6541c815f8c96dc80e47327578f,915,,backup-or-nonactive-copy
backend/migrations/backup/20250729043539-add-jenis-dokumen-dan-tahun-to-misi.js,20250729043539-add-jenis-dokumen-dan-tahun-to-misi.js,.js,20250729043539,prefix_ok,True,True,add_column|remove_column,jenis_dokumen,cffe0936485669d34ec44bd507a1b05ce9e145b2d94e8bb36dc321f6488b1aec,484,,backup-or-nonactive-copy
backend/migrations/backup/20250729043917-add-periode-id-to-misi.js,20250729043917-add-periode-id-to-misi.js,.js,20250729043917,prefix_ok,True,True,add_column|remove_column,periode_id,ffd150184dabd2f5b867166b61f9d9379913978925b875a2789f148af049bac3,307,,backup-or-nonactive-copy
backend/migrations/backup/20250729043918-change-unique-no-tujuan.js,20250729043918-change-unique-no-tujuan.js,.js,20250729043918,prefix_ok,True,True,add_constraint|remove_constraint,jenis_dokumen|no_tujuan|periode_id|tujuan_no_tujuan_key|unique_no_tujuan_dokumen_tahun_periode,5091ce1f9d91f47e57e0c64a295b463ed8ae5e17d7fd63fea3056ed85ed4a9b2,1319,,backup-or-nonactive-copy
backend/migrations/backup/20250729043919-remove-no_tujuan-constraint.js,20250729043919-remove-no_tujuan-constraint.js,.js,20250729043919,prefix_ok,True,True,add_constraint|remove_constraint,no_tujuan,99268c85e767488b60bedd03b167c99738fddc49e533b069b5a172af0daa7bcc,813,,backup-or-nonactive-copy
backend/migrations/backup/20250729043920-remove-constraint-per-misi.js,20250729043920-remove-constraint-per-misi.js,.js,20250729043920,prefix_ok,True,True,add_constraint|remove_constraint,misi_id|no_tujuan|periode_id|unique_no_tujuan_per_misi_periode,ff9fee1da709aebfcea0b18799b9a42abfb03337ee2be10139766a275a5bfa96,726,,backup-or-nonactive-copy
backend/migrations/backup/20250729043921-update-rkpd-table.js,20250729043921-update-rkpd-table.js,.js,20250729043921,prefix_ok,True,True,add_column|remove_column,arah_id|arah_kebijakan_id|misi_id|opd_id|opd_penanggung_jawab_id|prioritas_gubernur_id|prioritas_kepala_daerah_id|visi_id,3bd497866af921e59bca70ade75990b32657c54665cdc0ff6ed8eef3a243b714,1279,,backup-or-nonactive-copy
